DEUSLIRIO JERONIMO#M#15556.97#2#
MOZANDIR CANDEIRA#M#13170.99#2#
JESUE CORADO#F#11229.83#4#
DEUGO LUCIO#F#8105.13#0#
EDINARA FERNANDES#M#2812.41#0#
ERCULANO WALTENIR#M#11652.34#5#
WOLNEY GRAMATICO#F#9058.29#5#
ERITON SECUNDINO#F#9610.56#3#
ALAOR CLARET#F#13052.89#4#
SIMIAO DAMIAO#M#5179.75#0#
CLOVIS CORTES#F#5941.91#0#
LIDIO AVELINO#M#3125.67#5#
HERNESTO HONORIO#F#8187.10#4#
VANDERLAN MEDEIROS#F#4445.39#1#
DORCELI BISPO#F#2920.00#1#
VICENTE LUCIO#M#14016.18#2#
ERNESTINO LINDOSO#M#16860.44#2#
GUMERCINDO ECLIDES#M#9263.37#2#
VALTAIR MUNIZ#F#5565.03#0#
SELVINO ISIDORIO#M#1511.96#5#
HIRONITA SBEROWSKY#M#868.83#5#
DOROTHY CLEUZA#M#5886.40#2#
TARCILA NOBERTO#F#3878.41#5#
OLIVIER DELFINO#F#1557.45#4#
CLENIR CARLOS#F#8744.51#2#
ORCINO SILVANIO#F#13155.80#1#
VALERIANO DAMAZIO#F#13521.15#0#
OLIVIO SAVIO#M#19050.41#3#
ENEIAS RAIMUNDO#F#9026.56#3#
VALTECI BARBO#M#10707.35#1#
GESTINO EVARISTO#F#15605.59#0#
WELLIGTON MAURICIO#M#16963.77#4#
ARGEU OTAVIANO#F#13313.63#0#
ONESIMO COSME#F#13389.27#0#
ROZILDO MARCELINA#F#2202.55#5#
RIVALDO ISRAEL#M#5319.87#0#
NATALINA COSTA#F#9105.83#2#
REGENE LAZARA#M#12938.16#2#
URIONIR CAROSSI#M#8557.98#0#
LENILSON POVOA#F#15464.41#0#
RENILDO DOMINGOS#M#7971.15#5#
ANICLOVIS NEUSA#F#15432.92#2#
ITABAGI SOLEDADE#F#14243.02#4#
MELCHIADES LOURDES#F#13553.63#5#
EDIVAL PRADO#M#4079.31#0#
VALDOWILLAM ANTONIO#M#15747.71#0#
REGINALDO GORETE#F#19346.17#4#
ERMIVAL TELMA#M#4617.06#4#
ADORY MILHOMEM#M#1327.47#4#
HORSON GERVASIO#M#2470.85#3#
JOELHO FARIA#F#6849.41#0#
SILVIO LIBERATO#F#2115.11#0#
ELTON SARAIVA#F#14587.77#0#
CLERIO MARCELINA#M#5682.82#5#
NEDSON LIBANIO#M#16112.40#4#
ABSSALAO BERALDO#F#18663.64#4#
VANDERLICE MARCIO#F#1418.92#0#
LUCYARA BRAGA#F#7410.03#0#
GERONCIO ROBSON#M#15760.23#4#
ALBERICO DI#M#19338.13#0#
VALDEZ LUCIANO#F#13907.75#0#
ARISTEU CAIADO#F#1401.95#0#
NIVEO LUIZ#M#9120.85#0#
GERVAZ CONEGLIAN#M#11369.18#0#
MARCOLINO BELO#F#19585.19#0#
SALSO MARQUES#M#2110.34#3#
NATAN TORRES#F#13746.72#3#
RIDE CLECIO#M#12513.50#0#
EDMON ADELINO#M#6385.90#4#
EDILMAR POLI#F#2018.25#2#
IRAN FERRO#M#5107.34#0#
GUIMARAES PACHECO#M#6686.27#5#
ADELINO SOTERO#F#16545.32#2#
SATIRO ALMIR#F#1385.97#0#
DELAIDES ZACARIAS#F#5307.99#0#
JACQUELINE CLARIANO#M#19349.71#0#
JOSOELSON ANOR#M#4626.13#0#
EZIO SA#M#17578.53#5#
ELCIOMAR MONTEIRO#M#19664.86#0#
SAULO PALHARES#M#11411.20#4#
VALDINEI GUILHERME#F#16712.32#0#
ENIBALDO URCINO#M#2656.97#2#
GENSERICO LEITE#M#8650.11#0#
ALVARO SABINO#M#11746.28#0#
JURCELINO LIVINO#M#11562.14#3#
CRISTIOMAR CRUVINEL#M#7560.71#0#
MARK SOTERO#F#19218.20#5#
ORJANE EDIGLE#F#13817.86#0#
FELIPE SULINO#M#12466.22#4#
NELCI MARANHAO#F#11331.78#0#
AUREA FAGUNDES#M#2650.61#2#
PRICILA PENHA#M#13889.93#1#
SOLANGE PEDROSO#F#10012.30#0#
ELENA URZEDA#M#16889.93#0#
LEOSINIO BRAS#M#14597.05#0#
NEROTILDES VICTOR#F#9331.47#0#
MARCOS WASHINGTON#M#15324.61#2#
JOVE ARTIAGA#M#17873.40#4#
EDIBERTO CAIRO#M#9422.66#3#
JOSEFINA CARDOSO#F#7736.10#3#
DIOGENES VELOSO#F#11411.04#0#
LINDALVA VILELA#F#3437.55#0#
ANIELSON ANSELMO#F#13773.83#0#
JANAINA URZEDA#M#3225.65#4#
IRISMAR JEREMIAS#M#11492.22#4#
ALTEMAR GUIDA#M#19336.74#0#
MERCEDES FELICIO#M#3094.31#4#
GECINALDO BENEVIDES#M#13650.86#0#
LUCELI AUXILIADORA#M#12376.07#0#
ROSANGELA ZARUR#F#4256.73#0#
HENVER ELONEIDE#F#16642.11#1#
